ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Sale price,Regular price,Categories,Tags,Shipping class,Images,Position
,simple,BH-BLK-01,ברכת הבית — קלאסי שחור,1,1,visible,לוח זכוכית שחור עם ברכת הבית בכתב יד,"לוח זכוכית פרימיום שחור עם ברכת הבית המסורתית. מגיע עם וו תלייה. עמיד לאורך זמן. ניתן להתאמה אישית של הטקסט.",taxable,,1,,,0,,0.5,40,30,0.6,1,,280,ברכות לבית,ברכה,,,1
,simple,BH-WHT-01,ברכת הבית — לבן,1,0,visible,לוח זכוכית לבן שקוף עם ברכת הבית,"לוח זכוכית שקוף-חלבי עם ברכת הבית. אלגנטי ומינימליסטי. מגיע עם וו תלייה.",taxable,,1,,,0,,0.5,40,30,0.6,1,,280,ברכות לבית,ברכה,,,2
,simple,BH-MIN-01,ברוכים הבאים — מינימל,1,0,visible,לוח זכוכית מינימליסטי עם כיתוב ברוכים הבאים,"לוח זכוכית שחור מינימליסטי עם כיתוב ברוכים הבאים בגופן נקי ומודרני.",taxable,,1,,,0,,0.5,40,30,0.6,1,,260,ברכות לבית,ברכה,,,3
,simple,BH-SIG-01,ביתי ביתנו — Signature,1,1,visible,לוח זכוכית Signature עם ביתי ביתנו,"לוח זכוכית Signature עם הכיתוב ביתי ביתנו. עיצוב יוקרתי במיוחד. כולל אריזת מתנה.",taxable,,1,,,0,,0.5,40,30,0.6,1,,320,ברכות לבית,ברכה Signature,,,4
,simple,BH-SHL-01,ברכת השלום — מאופק,1,0,visible,לוח זכוכית עם ברכת שלום עליכם,"לוח זכוכית שחור אלגנטי עם ברכת שלום עליכם. עיצוב נקי ומאופק.",taxable,,1,,,0,,0.5,40,30,0.6,1,,280,ברכות לבית,ברכה שלום,,,5
,simple,BH-AHV-01,כי באהבה — לבן,1,0,visible,לוח זכוכית לבן עם כי באהבה,"לוח זכוכית לבן-שקוף עם הכיתוב כי באהבה. מתנה מושלמת לזוגות.",taxable,,1,,,0,,0.5,40,30,0.6,1,,280,ברכות לבית,ברכה אהבה,,,6
,simple,MZ-WHT-01,מזמור לתודה — לבן,1,1,visible,לוח קריסטל לבן עם מזמור לתודה,"לוח קריסטל לבן-שקוף עם מזמור לתודה המלא. עיצוב קלאסי יוקרתי. מגיע עם וו תלייה ואריזת מתנה.",taxable,,1,,,0,,0.8,50,35,0.8,1,,350,מזמור לתודה,מזמור,,,1
,simple,MZ-SIG-01,מזמור — Signature שחור,1,1,visible,לוח קריסטל שחור Signature עם מזמור לתודה,"לוח קריסטל שחור פרימיום עם מזמור לתודה בסגנון Signature. הכי יוקרתי שיש. כולל אריזת מתנה מפוארת.",taxable,,1,,,0,,0.8,50,35,0.8,1,,380,מזמור לתודה,מזמור Signature,,,2
,simple,MZ-BLK-01,מזמור — קלאסי שחור,1,0,visible,לוח קריסטל שחור קלאסי עם מזמור לתודה,"לוח קריסטל שחור עם מזמור לתודה בעיצוב קלאסי. אלגנטי ועמיד.",taxable,,1,,,0,,0.8,50,35,0.8,1,,350,מזמור לתודה,מזמור,,,3
,simple,MZ-XL-01,מזמור — XL אופקי,1,0,visible,לוח קריסטל XL גדול עם מזמור לתודה,"לוח קריסטל XL בפורמט אופקי גדול. נוכחות בולטת בכל חדר. מגיע עם וו תלייה.",taxable,,1,,,0,,1.2,70,50,0.8,1,,450,מזמור לתודה,מזמור XL,,,4
,simple,MZ-CMP-01,מזמור — Compact,1,0,visible,לוח קריסטל קומפקטי עם מזמור לתודה,"לוח קריסטל קומפקטי — מתאים לחלל קטן או כמתנה. עיצוב זהה לגרסה הגדולה.",taxable,,1,,,0,,0.4,30,22,0.6,1,,290,מזמור לתודה,מזמור קומפקטי,,,5
,simple,ZG-SIG-01,פורטרט זוגי — Signature,1,1,visible,תמונת זוג על זכוכית — סגנון Signature,"הדפסת תמונת הזוג על זכוכית פרימיום בסגנון Signature. מסגרת שחורה אלגנטית. יש לשלוח תמונה לאחר ההזמנה.",taxable,,1,,,0,,1,60,40,0.8,1,,480,תמונות לזוגות,זוגות פורטרט,,,1
,simple,ZG-MIN-01,שמות הזוג — מינימל,1,0,visible,לוח זכוכית עם שמות הזוג בעיצוב מינימל,"לוח זכוכית לבן עם שמות הזוג בכתב אלגנטי. מתנה מושלמת לחתונה ולאירועים.",taxable,,1,,,0,,0.8,50,35,0.8,1,,380,תמונות לזוגות,זוגות שמות,,,2
,simple,ZG-AHV-01,אהבת עולם — שחור,1,0,visible,לוח זכוכית שחור עם אני לדודי,"לוח זכוכית שחור עם הפסוק אהבת עולם ושמות הזוג. מתנת חתונה מיוחדת.",taxable,,1,,,0,,0.8,50,35,0.8,1,,420,תמונות לזוגות,זוגות אהבה,,,3
,simple,ZG-PSK-01,אני לדודי — לבן,1,0,visible,לוח זכוכית לבן עם אני לדודי ודודי לי,"לוח זכוכית לבן-שקוף עם הפסוק אני לדודי ודודי לי ושמות הזוג.",taxable,,1,,,0,,0.8,50,35,0.8,1,,380,תמונות לזוגות,זוגות פסוק,,,4
,simple,ZG-XL-01,פורטרט קו דק — XL,1,1,visible,תמונת זוג XL על זכוכית — קו דק Signature,"גרסה XL של פורטרט הזוג. נוכחות דרמטית בכל חדר. מתאים לסלון ראווה.",taxable,,1,,,0,,1.5,80,55,0.8,1,,520,תמונות לזוגות,זוגות XL,,,5
,simple,AI-BLK-01,שם המשפחה — שחור,1,1,visible,לוח זכוכית שחור עם שם המשפחה,"לוח זכוכית שחור פרימיום עם שם המשפחה בכתב יוקרתי. ניתן להתאמה אישית מלאה.",taxable,,1,,,0,,0.8,50,35,0.8,1,,320,עיצוב אישי,שם משפחה,,,1
,simple,AI-MOD-01,שם המשפחה — מודרני,1,0,visible,לוח זכוכית שחור עם שם המשפחה בסגנון מודרני,"לוח זכוכית שחור עם שם המשפחה בגופן מודרני-אלגנטי. עיצוב עכשווי ומיוחד.",taxable,,1,,,0,,0.8,50,35,0.8,1,,350,עיצוב אישי,שם משפחה מודרני,,,2
,simple,AI-XL-01,שם המשפחה — XL,1,0,visible,לוח זכוכית XL עם שם המשפחה,"גרסה גדולה של לוח שם המשפחה. נוכחות מרשימה בכניסה לבית.",taxable,,1,,,0,,1.2,70,50,0.8,1,,420,עיצוב אישי,שם משפחה XL,,,3
